Cell,Group,Cell Capacitance,Membrane Potential,Event Frequency,Spike Frequency,Burst Frequency,Event Duration,Spike Duration,Burst Duration,Burst Factor,Active Time,Event Amplitude,Days in Culture
12725000,Male-Base,6.45,-46.5333333333333,0.299292889372515,0.299292889372515,0,7.2875,7.2875,NA,0,0.21810969313022,85.8675173777778,2
15903001,Male-Base,3.81,-50.2666666666667,0.835489450009642,0.821328611873885,0.0141608381357566,23.8013771186441,22.4601293103448,101.59375,0.0169491525423729,1.9885799478328,72.1541568303512,3
15903003,Male-Base,4.54,-53.1,0.165808140735581,0.124356105551686,0.0414520351838953,70.3225446428571,45.4464285714286,144.950892857143,0.25,1.1660050379027,165.095147269112,3
15908001,Male-Base,6.49,-55.6,0.372330978618239,0.359491979355541,0.0128389992626979,29.5896248653017,22.6820417131696,223.001953125,0.0344827586206897,1.10171339830444,90.6918940050848,1
15908003,Male-Base,3.52,-53.8666666666667,1.33702045610348,1.0399047991916,0.297115656911885,72.4594907407408,15.5342261904762,271.697916666667,0.222222222222222,9.68798213592113,75.6857578136303,1
19206002,Male-Base,4.59,-56.1666666666667,0.909515500778868,0.65212964000702,0.371989442539215,50.9937691717791,33.1949678308824,140.646990740741,0.165644171779141,4.63796235048727,37.4326515080739,2
19206003,Male-Base,5.66,-44.5,1.02411908254624,0.758859558932062,0.150655941846806,119.901748178251,39.7108549735916,260.48331404321,0.36322869955157,12.279366834,40.8928414246427,2
19207000,Male-Base,4.40,-61,2.59759887866415,2.39478335060028,0.202815528063867,39.7728978978979,20.191266286645,270.986778846154,0.0780780780780781,10.3314034980803,74.9432508451445,3
19806000,Male-Base,4.25,-46.9666666666667,0.488014257732791,0.400421955062803,0.0875923026699881,58.5900487655248,30.4175573984782,187.378580729167,0.17948717948718,2.85927791588356,31.8795056139302,1
20226003,Male-Base,3.61,-47.6,0.665726221691633,0.665726221691633,0,10.4585336538462,10.4585336538462,NA,0,0.696252009380979,47.6009896596273,2
12725000,Male-CRH,6.45,-38.0666666666667,2.80987869051223,2.38277712955437,0.42710156095786,60.561625,35.8338738207547,198.516447368421,0.152,17.0170819550293,40.27612568,2
15903001,Male-CRH,3.81,-52.0333333333333,0.619040476661167,0.0169600130592101,0.602080463601957,337.697773972603,73.6875,345.134683098592,0.972602739726027,20.9048590967415,67.5366216685674,3
15903003,Male-CRH,4.54,-53.4333333333333,0.56813657658976,0.0516487796899782,0.516487796899782,455.941287878788,71.8541666666667,494.35,0.909090909090909,25.9036922421381,155.974972811612,3
15908001,Male-CRH,6.49,-54.7,0.591749069528712,0.0865974248090797,0.505151644719632,447.780487804878,31.3958333333333,519.160714285714,0.853658536585366,26.4973687011649,83.8167374773723,1
15908003,Male-CRH,3.52,-50.6333333333333,1.11347066370159,0.200424719466286,0.913045944235301,375.65375,24.953125,452.63681402439,0.82,41.827943033449,67.4827819824219,1
19206002,Male-CRH,4.59,-52.7333333333333,0.885272469917195,0.224092240180394,0.944048160759959,607.579905063291,46.859375,637.485,0.949367088607595,53.7873763227435,45.9163288164742,2
19206003,Male-CRH,5.66,-43.8,1.16814040094035,0.224092240180394,0.944048160759959,496.042857142857,51.0053191489362,601.683080808081,0.808163265306123,57.9447702026455,35.8372471089266,2
19207000,Male-CRH,4.40,-60.6,0.72271432041053,0.194576932418219,0.52813738799231,846.474519230769,26.5928571428571,1148.53618421053,0.730769230769231,61.1759256910695,72.6449787433331,3
19806000,Male-CRH,4.25,-42.0333333333333,1.41806100099597,0.655853212960635,0.655853212960635,170.43046875,26.8103197674419,337.340371621622,0.4625,24.1680801115837,33.3741253495216,1
20226003,Male-CRH,3.61,-41.6,1.74827011613809,1.08426367779718,1.08426367779718,323.856069711538,31.4382911392405,502.933624031008,0.620192307692308,56.6187888606616,28.7518622233317,2
18220000,Female-Base,4.10,-51.4,1.64998947199017,1.50920538734937,0.1407840846408,55.1772413025945,42.0513991170855,195.88626953125,0.0648464163822526,9.10418672427421,54.6877377090194,1
19821001,Female-Base,8.35,-48.2,1.43924856994615,1.43924856994615,0,16.8988533907157,16.8988533907157,NA,0,2.43216505763171,60.3030535380046,2
19827000,Female-Base,5.03,-52.5,0.243352132250893,0.243352132250893,0,27.8746032714844,27.8746032714844,NA,0,0.678334414176343,69.0175963640213,1
19827001,Female-Base,5.18,-50.2666666666667,0.829689493059526,0.553126328706351,0.276563164353175,139.807257619845,62.5485578264509,294.324657206633,0.170068027210884,11.5996612700652,61.5071156300655,1
19o16002,Female-Base,3.76,-44.8666666666667,0.252816534201337,0.252816534201337,0,12.45625,12.45625,NA,0,0.31491459541454,60.1134544372558,2
19o17000,Female-Base,4.83,-51.7,1.22008098705388,1.22008098705388,0,14.3369006849315,14.3369006849315,NA,0,1.74921799389646,64.4121957805059,3
19o17002,Female-Base,9.52,-53.9,0.520811632848631,0.520811632848631,0,16.9754166666667,16.9754166666667,NA,0,0.884099447245254,65.8987391662598,3
19o17003,Female-Base,2.54,-54.3666666666667,2.10731523753028,2.0905905134229,0.0167247241073832,16.4115203373016,14.9828125,195,0.00396825396825397,3.45842468778337,71.2029480555701,3
19o31001,Female-Base,7.86,-53.8666666666667,0.719656783103612,0.635813274392511,0.0838435087111004,51.7770024271845,22.9993131868132,270.0078125,0.116504854368932,3.72616710054955,67.7241286861086,3
19o31002,Female-Base,6.84,-55.5,0.588344143366183,0.588344143366183,0,17.9879032258065,17.9879032258065,NA,0,1.05830775143409,78.055300558767,3
18220000,Female-CRH,4.10,-48.7666666666667,0.677022239764374,0.144283428146506,0.532738811617868,632.683401639344,47.3894230769231,791.200520833333,0.754098360655738,42.8340733639612,56.3184693758605,1
19821001,Female-CRH,8.35,-47.0333333333333,0.803852860182054,0.386102554890593,0.417750305291461,623.558138148991,40.52151439229,1162.425320712,0.519685039370079,50.1248992840863,63.9993396668922,2
19827000,Female-CRH,5.03,-49.0666666666667,2.00871699479198,2.00871699479198,0,20.4286458333333,20.4286458333333,NA,0,4.10353680660031,53.2979840517044,1
19827001,Female-CRH,5.18,-47.6333333333333,0.670836266786193,0.255556673061407,0.415279593724786,674.046502976191,53.009765625,1056.22295673077,0.571428571428571,45.2174839696836,67.8915749050322,1
19o16002,Female-CRH,3.76,-42.4666666666667,1.37834751795637,1.36999389663542,0.0083536213209477,16.3422348484849,15.4367378048781,164.84375,0.00606060606060606,2.25252788412692,49.0192497831402,2
19o17000,Female-CRH,4.83,-47.3666666666667,4.54381250091357,4.54381250091357,0,15.3213465073529,15.3213465073529,NA,0,6.96173257909387,54.6234494097093,3
19o17002,Female-CRH,9.52,-48.2,2.66312418277464,2.66312418277464,0,17.7008228840125,17.7008228840125,NA,0,4.71394894774245,50.5094772745449,3
19o17003,Female-CRH,2.54,-48.0666666666667,2.10677459706368,1.21885934384043,0.884925277034833,144.030753968254,24.9404965753425,308.060731132076,0.357142857142857,30.3440333656247,66.1051699774606,3
19o31001,Female-CRH,7.86,-46.3,0.875769491214416,0.175153898242883,0.700615592971533,414.105952380952,29.2261904761905,510.325892857143,0.742857142857143,36.2661359225528,55.7503134591239,3
19o31002,Female-CRH,6.84,-45.5666666666667,2.50309161613302,1.68575557821203,0.817336037920987,133.741496598639,25.1875,357.634114583333,0.26530612244898,33.4767218865137,48.4202074842388,3
